token	corpus size	all contexts size	frequency	co-frequency	specificity
愚弄	116841	52700	3	3	1.04
自知	116841	52700	3	3	1.04
故此	116841	52700	3	3	1.04
课目	116841	52700	3	3	1.04
清华大学	116841	52700	3	3	1.04
开课	116841	52700	3	3	1.04
苏维埃	116841	52700	3	3	1.04
倒退	116841	52700	3	3	1.04
受害	116841	52700	3	3	1.04
非理工学科	116841	52700	3	3	1.04
简要	116841	52700	3	3	1.04
料	116841	52700	3	3	1.04
全日制	116841	52700	3	3	1.04
大纲	116841	52700	3	3	1.04
据说	116841	52700	3	3	1.04
难度	116841	52700	3	3	1.04
教委	116841	52700	3	3	1.04
文件	116841	52700	3	3	1.04
汉语言	116841	52700	3	3	1.04
文学	116841	52700	3	3	1.04
师范类	116841	52700	3	3	1.04
课面	116841	52700	3	3	1.04
2013	116841	52700	3	3	1.04
⑥	116841	52700	3	3	1.04
奋斗	116841	52700	3	3	1.04
一九七八年	116841	52700	3	3	1.04
发言	116841	52700	3	3	1.04
丛刊	116841	52700	3	3	1.04
哲学研究	116841	52700	3	3	1.04
编辑部	116841	52700	3	3	1.04
⑦	116841	52700	3	3	1.04
载	116841	52700	3	3	1.04
⑧曾昭式	116841	52700	3	3	1.04
2009	116841	52700	3	3	1.04
王金华	116841	52700	3	3	1.04
删	116841	52700	3	3	1.04
逻辑与语言学习	116841	52700	3	3	1.04
严戎庚	116841	52700	3	3	1.04
反	116841	52700	3	3	1.04
思维与智慧	116841	52700	3	3	1.04
全球	116841	52700	3	3	1.04
改变	116841	52700	3	3	1.04
操控	116841	52700	3	3	1.04
失势	116841	52700	3	3	1.04
交汇	116841	52700	3	3	1.04
自然数	116841	52700	3	3	1.04
薛定谔	116841	52700	3	3	1.04
添加	116841	52700	3	3	1.04
乘法	116841	52700	3	3	1.04
归	116841	52700	3	3	1.04
亚里士多德以	116841	52700	3	3	1.04
維基	116841	52700	3	3	1.04
數據	116841	52700	3	3	1.04
柏拉圖實	116841	52700	3	3	1.04
構式	116841	52700	3	3	1.04
集合論	116841	52700	3	3	1.04
势	116841	52700	3	3	1.04
有限值	116841	52700	3	3	1.04
Finite	116841	52700	3	3	1.04
v	116841	52700	3	3	1.04
alued	116841	52700	3	3	1.04
无限值	116841	52700	3	3	1.04
equality	116841	52700	3	3	1.04
泛	116841	52700	3	3	1.04
函谓	116841	52700	3	3	1.04
签名	116841	52700	3	3	1.04
Signature	116841	52700	3	3	1.04
變數	116841	52700	3	3	1.04
示例	116841	52700	3	3	1.04
传视	116841	52700	3	3	1.04
频	116841	52700	3	3	1.04
联结词	116841	52700	3	3	1.04
逻辑AND	116841	52700	3	3	1.04
中论	116841	52700	3	3	1.04
停顿	116841	52700	3	3	1.04
正名主义	116841	52700	3	3	1.04
诸子百家	116841	52700	3	3	1.04
宋明理学	116841	52700	3	3	1.04
道教	116841	52700	3	3	1.04
境	116841	52700	3	3	1.04
指事物	116841	52700	3	3	1.04
杂	116841	52700	3	3	1.04
联立	116841	52700	3	3	1.04
单词OR	116841	52700	3	3	1.04
汗	116841	52700	3	3	1.04
混为	116841	52700	3	3	1.04
体量	116841	52700	3	3	1.04
下载	116841	52700	3	3	1.04
刘东	116841	52700	3	3	1.04
王习胜	116841	52700	3	3	1.04
2010年	116841	52700	3	3	1.04
题名	116841	52700	3	3	1.04
统	116841	52700	3	3	1.04
支柱性	116841	52700	3	3	1.04
逐次	116841	52700	3	3	1.04
构架	116841	52700	3	3	1.04
分明	116841	52700	3	3	1.04
偏	116841	52700	3	3	1.04
就此	116841	52700	3	3	1.04
凸显	116841	52700	3	3	1.04
文化界	116841	52700	3	3	1.04
要性	116841	52700	3	3	1.04
搭建	116841	52700	3	3	1.04
应溯	116841	52700	3	3	1.04
溯源于	116841	52700	3	3	1.04
逻辑学学	116841	52700	3	3	1.04
论著	116841	52700	3	3	1.04
奠定	116841	52700	3	3	1.04
中心的	116841	52700	3	3	1.04
中西方	116841	52700	3	3	1.04
锻造	116841	52700	3	3	1.04
普通人	116841	52700	3	3	1.04
职能	116841	52700	3	3	1.04
法治	116841	52700	3	3	1.04
研读	116841	52700	3	3	1.04
深切	116841	52700	3	3	1.04
迫切	116841	52700	3	3	1.04
学人	116841	52700	3	3	1.04
历史使命感	116841	52700	3	3	1.04
责任感	116841	52700	3	3	1.04
相信	116841	52700	3	3	1.04
文化学	116841	52700	3	3	1.04
南京	116841	52700	3	3	1.04
形上学	116841	52700	3	3	1.04
字根	116841	52700	3	3	1.04
此词	116841	52700	3	3	1.04
λόγ	116841	52700	3	3	1.04
法语	116841	52700	3	3	1.04
logique	116841	52700	3	3	1.04
拼法	116841	52700	3	3	1.04
雷同	116841	52700	3	3	1.04
本作	116841	52700	3	3	1.04
注解	116841	52700	3	3	1.04
艺	116841	52700	3	3	1.04
当中	116841	52700	3	3	1.04
1903年	116841	52700	3	3	1.04
阿	116841	52700	3	3	1.04
弗烈	116841	52700	3	3	1.04
诺夫	116841	52700	3	3	1.04
怀海德	116841	52700	3	3	1.04
基石	116841	52700	3	3	1.04
